word,rank,count,grade_hint,academic,pos,notes
conceptual,155,65,6,1,adj,tier2_nawl_academic+nawl_rank_155+grade_estimate_6
detection,156,65,6,1,n,tier2_nawl_academic+nawl_rank_156+grade_estimate_6
interact,157,65,6,1,n,tier2_nawl_academic+nawl_rank_157+bridge_from_beginner_grade_3+grade_estimate_6
neural,158,64,6,1,adj,tier2_nawl_academic+nawl_rank_158+grade_estimate_6
chronic,159,64,6,1,adj,tier2_nawl_academic+nawl_rank_159+grade_estimate_6
integral,160,64,6,1,adj,tier2_nawl_academic+nawl_rank_160+grade_estimate_6
enzyme,161,64,6,1,n,tier2_nawl_academic+nawl_rank_161+grade_estimate_6
conference,162,64,6,1,n,tier2_ngsl_nawl_overlap+ngsl_rank_812+nawl_rank_162+grade_estimate_6
conception,163,64,6,1,n,tier2_nawl_academic+nawl_rank_163+grade_estimate_6
ex,164,64,6,1,n,tier2_nawl_academic+nawl_rank_164+grade_estimate_6
ideology,165,63,6,1,n,tier2_nawl_academic+nawl_rank_165+grade_estimate_6
sperm,166,63,6,1,n,tier2_nawl_academic+nawl_rank_166+grade_estimate_6
quantitative,167,63,6,1,adj,tier2_nawl_academic+nawl_rank_167+grade_estimate_6
sphere,168,63,6,1,n,tier2_nawl_academic+nawl_rank_168+grade_estimate_6
instability,169,63,6,1,n,tier2_nawl_academic+nawl_rank_169+grade_estimate_6
mediate,170,62,6,1,v,tier2_nawl_academic+nawl_rank_170+grade_estimate_6
specification,171,62,6,1,n,tier2_nawl_academic+nawl_rank_171+grade_estimate_6
classify,172,62,6,1,v,tier2_nawl_academic+nawl_rank_172+grade_estimate_6
physician,173,62,6,1,n,tier2_nawl_academic+nawl_rank_173+grade_estimate_6
computation,174,62,6,1,n,tier2_nawl_academic+nawl_rank_174+grade_estimate_6
oral,175,62,6,1,adj,tier2_nawl_academic+nawl_rank_175+bridge_from_beginner_grade_2+grade_estimate_6
mid,176,62,6,1,n,tier2_nawl_academic+nawl_rank_176+grade_estimate_6
indicator,177,62,6,1,n,tier2_nawl_academic+nawl_rank_177+grade_estimate_6
variant,178,61,6,1,adj,tier2_nawl_academic+nawl_rank_178+grade_estimate_6
evolutionary,179,61,6,1,adj,tier2_nawl_academic+nawl_rank_179+grade_estimate_6
feedback,180,61,6,1,n,tier2_nawl_academic+nawl_rank_180+grade_estimate_6
collective,181,61,6,1,adj,tier2_nawl_academic+nawl_rank_181+grade_estimate_6
arbitrary,182,60,6,1,adj,tier2_nawl_academic+nawl_rank_182+grade_estimate_6
fraction,183,60,6,1,n,tier2_nawl_academic+nawl_rank_183+bridge_from_beginner_grade_3+grade_estimate_6
estimation,184,60,6,1,n,tier2_nawl_academic+nawl_rank_184+grade_estimate_6
nonlinear,185,60,6,1,n,tier2_nawl_academic+nawl_rank_185+grade_estimate_6
compact,186,60,6,1,n,tier2_nawl_academic+nawl_rank_186+bridge_from_beginner_grade_5+grade_estimate_6
deviation,186,60,6,1,n,tier2_nawl_academic+nawl_rank_186+grade_estimate_6
diagram,188,60,6,1,n,tier2_nawl_academic+nawl_rank_188+grade_estimate_6
tropical,189,60,6,1,adj,tier2_nawl_academic+nawl_rank_189+bridge_from_beginner_grade_4+grade_estimate_6
morphology,190,60,6,1,n,tier2_nawl_academic+nawl_rank_190+grade_estimate_6
thereby,191,60,6,1,adv,tier2_nawl_academic+nawl_rank_191+grade_estimate_6
syntax,192,60,6,1,n,tier2_nawl_academic+nawl_rank_192+grade_estimate_6
defect,193,59,6,1,n,tier2_nawl_academic+nawl_rank_193+grade_estimate_6
separation,194,59,6,1,n,tier2_nawl_academic+nawl_rank_194+grade_estimate_6
convergence,195,59,6,1,n,tier2_nawl_academic+nawl_rank_195+grade_estimate_6
sufficiently,196,59,6,1,adv,tier2_nawl_academic+nawl_rank_196+grade_estimate_6
valid,197,59,6,1,adj,tier2_nawl_academic+nawl_rank_197+grade_estimate_6
interface,198,59,6,1,n,tier2_nawl_academic+nawl_rank_198+grade_estimate_6
radiation,199,59,6,1,n,tier2_nawl_academic+nawl_rank_199+grade_estimate_6
embed,200,59,6,1,v,tier2_nawl_academic+nawl_rank_200+grade_estimate_6
vertical,200,59,6,1,adj,tier2_nawl_academic+nawl_rank_200+bridge_from_beginner_grade_5+grade_estimate_6
acute,202,59,6,1,n,tier2_nawl_academic+nawl_rank_202+bridge_from_beginner_grade_4+grade_estimate_6
utility,203,59,6,1,n,tier2_nawl_academic+nawl_rank_203+grade_estimate_6
complement,204,58,6,1,adj,tier2_nawl_academic+nawl_rank_204+grade_estimate_6
leaf,205,58,6,1,n,tier2_nawl_academic+nawl_rank_205+grade_estimate_6
verbal,206,58,6,1,adj,tier2_nawl_academic+nawl_rank_206+grade_estimate_6
aggregate,207,58,6,1,v,tier2_nawl_academic+nawl_rank_207+grade_estimate_6
equality,208,58,6,1,n,tier2_nawl_academic+nawl_rank_208+grade_estimate_6
corpus,209,58,6,1,n,tier2_nawl_academic+nawl_rank_209+grade_estimate_6
organ,210,58,6,1,n,tier2_nawl_academic+nawl_rank_210+grade_estimate_6
gradient,211,58,6,1,adj,tier2_nawl_academic+nawl_rank_211+grade_estimate_6
methodology,212,57,6,1,n,tier2_nawl_academic+nawl_rank_212+grade_estimate_6
entity,213,57,6,1,n,tier2_nawl_academic+nawl_rank_213+grade_estimate_6
tumor,214,57,6,1,n,tier2_nawl_academic+nawl_rank_214+grade_estimate_6
fiber,215,57,6,1,n,tier2_nawl_academic+nawl_rank_215+grade_estimate_6
paradigm,216,57,6,1,n,tier2_nawl_academic+nawl_rank_216+grade_estimate_6
psychology,217,57,6,1,n,tier2_nawl_academic+nawl_rank_217+grade_estimate_6
infinite,218,56,6,1,n,tier2_nawl_academic+nawl_rank_218+grade_estimate_6
diverse,219,56,6,1,adj,tier2_nawl_academic+nawl_rank_219+grade_estimate_6
diagnostic,220,56,6,1,adj,tier2_nawl_academic+nawl_rank_220+grade_estimate_6
continuity,221,56,6,1,n,tier2_nawl_academic+nawl_rank_221+bridge_from_beginner_grade_3+grade_estimate_6
variability,222,55,6,1,n,tier2_nawl_academic+nawl_rank_222+grade_estimate_6
outer,223,55,6,1,adj,tier2_nawl_academic+nawl_rank_223+grade_estimate_6
notation,224,55,6,1,n,tier2_nawl_academic+nawl_rank_224+grade_estimate_6
probe,225,55,6,1,n,tier2_nawl_academic+nawl_rank_225+grade_estimate_6
migration,226,55,6,1,n,tier2_nawl_academic+nawl_rank_226+grade_estimate_6
mathematical,227,55,6,1,adj,tier2_nawl_academic+nawl_rank_227+grade_estimate_6
likelihood,228,55,6,1,n,tier2_nawl_academic+nawl_rank_228+grade_estimate_6
comparable,229,54,6,1,adj,tier2_nawl_academic+nawl_rank_229+grade_estimate_6
magnitude,230,54,6,1,n,tier2_nawl_academic+nawl_rank_230+grade_estimate_6
array,231,54,6,1,n,tier2_nawl_academic+nawl_rank_231+bridge_from_beginner_grade_4+grade_estimate_6
inclusion,232,54,6,1,n,tier2_nawl_academic+nawl_rank_232+grade_estimate_6
emission,233,53,6,1,n,tier2_nawl_academic+nawl_rank_233+grade_estimate_6
inference,234,53,6,1,n,tier2_nawl_academic+nawl_rank_234+grade_estimate_6
non,235,53,6,1,n,tier2_nawl_academic+nawl_rank_235+grade_estimate_6
consciousness,236,53,6,1,n,tier2_nawl_academic+nawl_rank_236+grade_estimate_6
simultaneously,237,53,6,1,adv,tier2_nawl_academic+nawl_rank_237+grade_estimate_6
disturbance,238,53,6,1,n,tier2_nawl_academic+nawl_rank_238+grade_estimate_6
hierarchy,239,53,6,1,n,tier2_nawl_academic+nawl_rank_239+grade_estimate_6
rotation,240,52,6,1,n,tier2_nawl_academic+nawl_rank_240+bridge_from_beginner_grade_4+grade_estimate_6
periodic,241,52,6,1,adj,tier2_nawl_academic+nawl_rank_241+grade_estimate_6
validity,241,52,6,1,n,tier2_nawl_academic+nawl_rank_241+grade_estimate_6
archaeology,243,52,6,1,n,tier2_nawl_academic+nawl_rank_243+grade_estimate_6
atom,244,52,6,1,n,tier2_nawl_academic+nawl_rank_244+grade_estimate_6
modification,245,52,6,1,n,tier2_nawl_academic+nawl_rank_245+grade_estimate_6
partition,246,52,6,1,n,tier2_nawl_academic+nawl_rank_246+grade_estimate_6
initiate,247,52,6,1,v,tier2_nawl_academic+nawl_rank_247+grade_estimate_6
autonomy,248,52,6,1,n,tier2_nawl_academic+nawl_rank_248+grade_estimate_6
inhibit,249,52,6,1,v,tier2_nawl_academic+nawl_rank_249+grade_estimate_6
consonant,250,51,6,1,n,tier2_nawl_academic+nawl_rank_250+bridge_from_beginner_grade_5+grade_estimate_6
classroom,256,51,6,1,n,tier2_nawl_academic+nawl_rank_256+bridge_from_beginner_grade_3+grade_estimate_6
insect,261,51,6,1,n,tier2_nawl_academic+nawl_rank_261+bridge_from_beginner_grade_5+grade_estimate_6
neutral,266,50,6,1,adj,tier2_nawl_academic+nawl_rank_266+bridge_from_beginner_grade_4+grade_estimate_6
oxygen,280,49,6,1,n,tier2_nawl_academic+nawl_rank_280+bridge_from_beginner_grade_5+grade_estimate_6
colony,283,49,6,1,n,tier2_nawl_academic+nawl_rank_283+bridge_from_beginner_grade_5+grade_estimate_6
conservation,297,48,6,1,n,tier2_nawl_academic+nawl_rank_297+bridge_from_beginner_grade_4+grade_estimate_6
closure,322,46,6,1,n,tier2_nawl_academic+nawl_rank_322+bridge_from_beginner_grade_4+grade_estimate_6
locally,339,45,6,1,adv,tier2_nawl_academic+nawl_rank_339+bridge_from_beginner_grade_4+grade_estimate_6
ecology,346,45,6,1,n,tier2_nawl_academic+nawl_rank_346+bridge_from_beginner_grade_4+grade_estimate_6
reproduce,364,43,6,1,n,tier2_nawl_academic+nawl_rank_364+bridge_from_beginner_grade_4+grade_estimate_6
simplify,369,42,6,1,n,tier2_nawl_academic+nawl_rank_369+bridge_from_beginner_grade_3+grade_estimate_6
monkey,375,41,6,1,n,tier2_nawl_academic+nawl_rank_375+bridge_from_beginner_grade_4+grade_estimate_6
habitat,376,41,6,1,n,tier2_nawl_academic+nawl_rank_376+bridge_from_beginner_grade_4+grade_estimate_6
cattle,381,40,6,1,n,tier2_nawl_academic+nawl_rank_381+bridge_from_beginner_grade_4+grade_estimate_6
transmit,418,37,6,1,n,tier2_nawl_academic+nawl_rank_418+bridge_from_beginner_grade_4+grade_estimate_6
conceive,419,37,6,1,adj,tier2_nawl_academic+nawl_rank_419+bridge_from_beginner_grade_5+grade_estimate_6
plural,435,36,6,1,adj,tier2_nawl_academic+nawl_rank_435+bridge_from_beginner_grade_4+grade_estimate_6
articulate,442,35,6,1,n,tier2_nawl_academic+nawl_rank_442+bridge_from_beginner_grade_5+grade_estimate_6
sketch,461,33,6,1,n,tier2_nawl_academic+nawl_rank_461+bridge_from_beginner_grade_4+grade_estimate_6
rhythm,468,32,6,1,n,tier2_nawl_academic+nawl_rank_468+bridge_from_beginner_grade_5+grade_estimate_6
dictionary,470,32,6,1,n,tier2_nawl_academic+nawl_rank_470+bridge_from_beginner_grade_4+grade_estimate_6
constitution,471,32,6,1,n,tier2_nawl_academic+nawl_rank_471+bridge_from_beginner_grade_3+grade_estimate_6
basin,489,31,6,1,n,tier2_nawl_academic+nawl_rank_489+bridge_from_beginner_grade_4+grade_estimate_6
clarify,492,30,6,1,v,tier2_nawl_academic+nawl_rank_492+bridge_from_beginner_grade_3+grade_estimate_6
formally,506,29,6,1,adv,tier2_nawl_academic+nawl_rank_506+bridge_from_beginner_grade_3+grade_estimate_6
stack,523,28,6,1,n,tier2_nawl_academic+nawl_rank_523+bridge_from_beginner_grade_2+grade_estimate_6
drift,524,28,6,1,n,tier2_nawl_academic+nawl_rank_524+bridge_from_beginner_grade_2+grade_estimate_6
nest,525,28,6,1,n,tier2_nawl_academic+nawl_rank_525+bridge_from_beginner_grade_1+grade_estimate_6
fossil,526,28,6,1,n,tier2_nawl_academic+nawl_rank_526+bridge_from_beginner_grade_4+grade_estimate_6
sediment,537,28,6,1,n,tier2_nawl_academic+nawl_rank_537+bridge_from_beginner_grade_4+grade_estimate_6
ray,538,27,6,1,n,tier2_nawl_academic+nawl_rank_538+bridge_from_beginner_grade_4+grade_estimate_6
triangle,545,27,6,1,n,tier2_nawl_academic+nawl_rank_545+bridge_from_beginner_grade_5+grade_estimate_6
merge,553,26,6,1,n,tier2_nawl_academic+nawl_rank_553+bridge_from_beginner_grade_4+grade_estimate_6
clinic,558,26,6,1,adj,tier2_nawl_academic+nawl_rank_558+bridge_from_beginner_grade_5+grade_estimate_6
momentum,568,25,6,1,n,tier2_nawl_academic+nawl_rank_568+bridge_from_beginner_grade_3+grade_estimate_6
multiply,571,25,6,1,adv,tier2_nawl_academic+nawl_rank_571+bridge_from_beginner_grade_2+grade_estimate_6
rainfall,575,25,6,1,n,tier2_nawl_academic+nawl_rank_575+bridge_from_beginner_grade_3+grade_estimate_6
invasion,577,25,6,1,n,tier2_nawl_academic+nawl_rank_577+bridge_from_beginner_grade_4+grade_estimate_6
quotation,583,25,6,1,n,tier2_nawl_academic+nawl_rank_583+bridge_from_beginner_grade_3+grade_estimate_6
composite,584,25,6,1,n,tier2_nawl_academic+nawl_rank_584+bridge_from_beginner_grade_5+grade_estimate_6
horizon,594,24,6,1,n,tier2_nawl_academic+nawl_rank_594+bridge_from_beginner_grade_5+grade_estimate_6
rotate,598,24,6,1,n,tier2_nawl_academic+nawl_rank_598+bridge_from_beginner_grade_2+grade_estimate_6
elevation,600,24,6,1,n,tier2_nawl_academic+nawl_rank_600+bridge_from_beginner_grade_4+grade_estimate_6
atomic,603,24,6,1,adj,tier2_nawl_academic+nawl_rank_603+bridge_from_beginner_grade_3+grade_estimate_6
ancestor,609,24,6,1,n,tier2_nawl_academic+nawl_rank_609+bridge_from_beginner_grade_5+grade_estimate_6
gravity,613,23,6,1,n,tier2_nawl_academic+nawl_rank_613+bridge_from_beginner_grade_2+grade_estimate_6
