word,rank,count,grade_hint,academic,pos,notes
stars,420,,3,0,n,tier2_fry_filtered+fry_rank_420+grade3_week16_item7
front,421,,3,0,n,tier2_fry_filtered+fry_rank_421+grade3_week2_item9
fact,423,,3,0,n,tier2_fry_filtered+fry_rank_423+grade_estimated_from_fry_rank
inches,424,,3,0,n,tier2_fry_filtered+fry_rank_424+grade3_week2_item11
street,425,,3,0,n,tier2_fry_filtered+fry_rank_425+grade3_week5_item9
decided,426,,3,0,v,tier2_fry_filtered+fry_rank_426+grade_estimated_from_fry_rank
class,433,,3,0,n,tier2_fry_filtered+fry_rank_433+grade_estimated_from_fry_rank
nothing,435,,3,0,v,tier2_fry_filtered+fry_rank_435+grade3_week5_item15
carefully,437,,3,0,adv,tier2_fry_filtered+fry_rank_437+grade3_week29_item11
wheels,440,,3,0,n,tier2_fry_filtered+fry_rank_440+grade_estimated_from_fry_rank
known,443,,3,0,v,tier2_fry_filtered+fry_rank_443+grade3_week6_item6
base,448,,3,0,n,tier2_fry_filtered+fry_rank_448+grade3_week2_item3
behind,453,,3,0,prep,tier2_fry_filtered+fry_rank_453+grade3_week26_item5
common,462,,3,0,adj,tier2_fry_filtered+fry_rank_462+grade3_week22_item6
thousands,470,,3,0,n,tier2_fry_filtered+fry_rank_470+grade_estimated_from_fry_rank
clear,472,,3,0,n,tier2_fry_filtered+fry_rank_472+grade3_week20_item12
yet,474,,3,0,conj,tier2_fry_filtered+fry_rank_474+grade_estimated_from_fry_rank
government,475,,3,0,n,tier2_fry_filtered+fry_rank_475+grade3_week35_item14
object,481,,3,0,n,tier2_fry_filtered+fry_rank_481+grade3_week13_item16
rule,483,,3,0,n,tier2_fry_filtered+fry_rank_483+grade3_week26_item2
among,484,,3,0,prep,tier2_fry_filtered+fry_rank_484+grade3_week17_item1
noun,485,,3,1,n,tier2_fry_filtered+fry_rank_485+grade3_week20_item4
cannot,487,,3,0,n,tier2_fry_filtered+fry_rank_487+grade3_week11_item2
material,493,,3,0,adj,tier2_fry_filtered+fry_rank_493+grade3_week8_item13
fine,496,,3,0,adj,tier2_fry_filtered+fry_rank_496+grade_estimated_from_fry_rank
can't,501,,3,0,v,tier2_fry_filtered+fry_rank_501+grade3_week9_item1
suddenly,508,,3,0,adv,tier2_fry_filtered+fry_rank_508+grade3_week30_item2
center,511,,3,0,n,tier2_fry_filtered+fry_rank_511+grade3_week35_item5
general,516,,3,0,adj,tier2_fry_filtered+fry_rank_516+grade3_week31_item16
dance,524,,3,0,v,tier2_fry_filtered+fry_rank_524+grade3_week10_item15
picked,526,,3,0,v,tier2_fry_filtered+fry_rank_526+grade3_week12_item5
difference,542,,3,0,n,tier2_fry_filtered+fry_rank_542+grade3_week29_item15
sum,546,,3,0,n,tier2_fry_filtered+fry_rank_546+grade3_week31_item15
forest,549,,3,0,n,tier2_fry_filtered+fry_rank_549+grade3_week21_item16
main,553,,3,0,adj,tier2_fry_filtered+fry_rank_553+grade3_week35_item4
winter,554,,3,0,n,tier2_fry_filtered+fry_rank_554+grade3_week25_item1
brother,562,,3,0,n,tier2_fry_filtered+fry_rank_562+grade3_week26_item10
beautiful,565,,3,0,adj,tier2_fry_filtered+fry_rank_565+grade3_week29_item1
sign,570,,3,0,n,tier2_fry_filtered+fry_rank_570+grade3_week4_item9
happy,575,,3,0,adj,tier2_fry_filtered+fry_rank_575+grade3_week22_item4
west,581,,3,0,n,tier2_fry_filtered+fry_rank_581+grade3_week1_item4
whether,593,,3,0,conj,tier2_fry_filtered+fry_rank_593+grade3_week35_item9
held,598,,3,0,v,tier2_fry_filtered+fry_rank_598+grade3_week12_item1
cross,601,,3,0,n,tier2_fry_filtered+fry_rank_601+grade3_week12_item2
village,610,,3,0,n,tier2_fry_filtered+fry_rank_610+grade3_week7_item13
jumped,613,,3,0,v,tier2_fry_filtered+fry_rank_613+grade3_week23_item11
floor,617,,3,0,n,tier2_fry_filtered+fry_rank_617+grade3_week16_item5
pushed,619,,3,0,v,tier2_fry_filtered+fry_rank_619+grade3_week9_item6
copy,631,,3,0,n,tier2_fry_filtered+fry_rank_631+grade3_week16_item3
hope,633,,3,0,v,tier2_fry_filtered+fry_rank_633+grade3_week4_item5
laughed,636,,3,0,v,tier2_fry_filtered+fry_rank_636+grade3_week7_item6
nation,637,,3,0,n,tier2_fry_filtered+fry_rank_637+grade3_week28_item8
temperature,641,,3,1,n,tier2_fry_filtered+fry_rank_641+grade3_week29_item14
everyone,644,,3,0,pron,tier2_fry_filtered+fry_rank_644+grade3_week24_item5
hair,651,,3,0,n,tier2_fry_filtered+fry_rank_651+grade3_week20_item10
amount,653,,3,0,n,tier2_fry_filtered+fry_rank_653+grade3_week5_item16
pounds,655,,3,0,n,tier2_fry_filtered+fry_rank_655+grade3_week13_item12
tiny,660,,3,0,adj,tier2_fry_filtered+fry_rank_660+grade3_week4_item10
milk,663,,3,0,n,tier2_fry_filtered+fry_rank_663+grade3_week6_item3
quiet,664,,3,0,adj,tier2_fry_filtered+fry_rank_664+grade3_week24_item12
natural,665,,3,0,adj,tier2_fry_filtered+fry_rank_665+grade3_week33_item13
stone,667,,3,0,n,tier2_fry_filtered+fry_rank_667+grade3_week4_item6
middle,670,,3,0,n,tier2_fry_filtered+fry_rank_670+grade3_week36_item7
bear,677,,3,0,n,tier2_fry_filtered+fry_rank_677+grade3_week19_item9
fraction,681,,3,1,n,tier2_fry_filtered+fry_rank_681+grade3_week20_item13
poor,688,,3,0,adj,tier2_fry_filtered+fry_rank_688+grade3_week16_item4
let's,689,,3,0,v,tier2_fry_filtered+fry_rank_689+grade3_week6_item4
dress,697,,3,0,n,tier2_fry_filtered+fry_rank_697+grade3_week1_item5
iron,698,,3,0,n,tier2_fry_filtered+fry_rank_698+grade3_week8_item16
least,702,,3,0,n,tier2_fry_filtered+fry_rank_702+grade3_week5_item11
shouted,706,,3,0,v,tier2_fry_filtered+fry_rank_706+grade3_week13_item3
else,709,,3,0,n,tier2_fry_filtered+fry_rank_709+grade3_week1_item8
plains,710,,3,0,n,tier2_fry_filtered+fry_rank_710+grade3_week10_item16
you're,720,,3,0,v,tier2_fry_filtered+fry_rank_720+grade3_week33_item5
