word,rank,count,grade_hint,academic,pos,notes
dome,3311,1067,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
dot,3313,2439,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
drip,3314,1098,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
drown,3315,1657,9,0,v,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
dual,3316,1714,9,0,adj,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
dull,3317,2217,9,0,v,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
dwell,3319,2466,9,0,v,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
earl,3322,2709,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
ego,3324,1502,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
elegant,3327,2029,9,0,adj,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
eligible,3330,1813,9,0,adj,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
embassy,3331,1504,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
embody,3332,1432,9,0,v,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
enact,3335,1260,9,0,v,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
enclose,3336,2958,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
endeavour,3337,1316,9,0,v,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
endow,3338,1183,9,0,v,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
enlarge,3339,1502,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
enlighten,3340,1267,9,0,v,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
enrich,3341,945,9,0,v,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
enrol,3342,931,9,0,v,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
entrepreneur,3344,1244,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
envy,3345,1186,9,0,v,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
equity,3346,2445,9,0,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
erect,3347,2162,9,0,v,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic
